colorr,slope,boot
1,0.43451878434036434,1
2,0.4503402924223975,1
3,0.3856664120358466,1
4,0.40006824187594536,1
5,0.3947720572661834,1
6,0.42321480163894143,1
7,0.4563623344846406,1
8,0.5370161716381744,1
9,0.46248173355309935,1
1,0.4830902900810729,2
2,0.40685044813297067,2
3,0.39723123987009146,2
4,0.36481780521665436,2
5,0.4253364365145298,2
6,0.414986342429772,2
7,0.41995165167641735,2
8,0.49634694714457966,2
9,0.4444063843170975,2
1,0.4399158640045733,3
2,0.4132393837404176,3
3,0.39353672531202394,3
4,0.3790545673603656,3
5,0.42821017769208347,3
6,0.42945641993770023,3
7,0.44890733717796194,3
8,0.5313863544643278,3
9,0.483473599041609,3
1,0.4716628442058277,4
2,0.4171342014542658,4
3,0.4022765198291791,4
4,0.3878057549554091,4
5,0.41764419390267027,4
6,0.4375999934640613,4
7,0.42969149453270333,4
8,0.5171259626252575,4
9,0.40813672676145873,4
1,0.5051830716367418,5
2,0.3968036014900495,5
3,0.41405804695383963,5
4,0.40112890457987843,5
5,0.4126917647197398,5
6,0.41810184064800127,5
7,0.4481801436233642,5
8,0.5059811228698464,5
9,0.4601186426348407,5
1,0.40361846384230327,6
2,0.38864650378438637,6
3,0.4036066098073662,6
4,0.3928287981048365,6
5,0.43330476506800125,6
6,0.44560608515874234,6
7,0.45109894861912303,6
8,0.5348886940861772,6
9,0.4511520638070661,6
1,0.4769970175143187,7
2,0.3911935463567605,7
3,0.3995851332601556,7
4,0.38031562527066143,7
5,0.419437595601949,7
6,0.4119666203339813,7
7,0.433891796574439,7
8,0.5212434824180536,7
9,0.47115696296647225,7
1,0.48840225679768856,8
2,0.4030928136907242,8
3,0.39810986470167814,8
4,0.4040181040085259,8
5,0.42095847408906495,8
6,0.4290461098488956,8
7,0.44471740111793345,8
8,0.516945216442992,8
9,0.46896901162095783,8
1,0.5345296866160943,9
2,0.37017194711097545,9
3,0.3865895224812975,9
4,0.39246054376656014,9
5,0.40287405855908326,9
6,0.4305295533315903,9
7,0.41884269063243945,9
8,0.5047077276564212,9
9,0.44594981160693653,9
1,0.46140170716971296,10
2,0.3945712189269797,10
3,0.42048102657975184,10
4,0.38661388159774424,10
5,0.414959015387966,10
6,0.428511648839303,10
7,0.43019028626215094,10
8,0.5156034052260714,10
9,0.44390946568464884,10
1,0.4757219542593776,11
2,0.38867348508286037,11
3,0.41495747716112386,11
4,0.36565899592144346,11
5,0.42679870514221097,11
6,0.44755065563757984,11
7,0.44144081469139457,11
8,0.5097674895452166,11
9,0.44571787607219016,11
1,0.4552166246893076,12
2,0.41047998011846865,12
3,0.3820017390996364,12
4,0.3950872945943933,12
5,0.411825373665946,12
6,0.4223036469803485,12
7,0.4705497714643222,12
8,0.5221351070535161,12
9,0.4365091576670933,12
1,0.4558396792284972,13
2,0.41391293972532506,13
3,0.4175518895352741,13
4,0.4093153640747895,13
5,0.4105365864341103,13
6,0.41985147005418283,13
7,0.45596973305150207,13
8,0.5169443654049282,13
9,0.4752076435892733,13
1,0.4594818022428358,14
2,0.4152002843415455,14
3,0.42706553553845517,14
4,0.39147636058061175,14
5,0.41521251279064164,14
6,0.4231567385377416,14
7,0.42538290626933606,14
8,0.5093711420781428,14
9,0.451827734675329,14
1,0.4912748876384299,15
2,0.44639072656147494,15
3,0.38933812108725796,15
4,0.40022358028639765,15
5,0.4183738148247468,15
6,0.4393250803324706,15
7,0.430831167595206,15
8,0.5272465333144086,15
9,0.4705943673316079,15
1,0.44114390439665085,16
2,0.4171146868636846,16
3,0.3862528187924903,16
4,0.3820523158237439,16
5,0.4141200962420447,16
6,0.4292258708175293,16
7,0.45403261884756657,16
8,0.527042314223886,16
9,0.45923100665640004,16
1,0.4441364096211316,17
2,0.4417941262418967,17
3,0.41424524654946054,17
4,0.3979891528625064,17
5,0.42476381721754136,17
6,0.4294497104179463,17
7,0.4317105675070092,17
8,0.5317130174861125,17
9,0.46586586808387587,17
1,0.4360444804631514,18
2,0.3957683579985309,18
3,0.3940167893596772,18
4,0.39795984108841803,18
5,0.41759063865466317,18
6,0.41668121044429485,18
7,0.4398860906401621,18
8,0.5290154707420575,18
9,0.47152914962903836,18
1,0.4722735625608818,19
2,0.47717169320602965,19
3,0.4120164355927709,19
4,0.39647350277348437,19
5,0.4126874734051739,19
6,0.4404747408069955,19
7,0.4344086039634115,19
8,0.513816045660143,19
9,0.4724924348529058,19
1,0.4777687292449495,20
2,0.3928404625418018,20
3,0.4237073852064903,20
4,0.3860421890934068,20
5,0.4264578956081575,20
6,0.4167896984501304,20
7,0.4676248856278673,20
8,0.5141703610627405,20
9,0.43165155769521457,20
1,0.47080655239391117,21
2,0.3992551000589149,21
3,0.41272991229621186,21
4,0.40374218398810763,21
5,0.41245556062600286,21
6,0.42024641514136135,21
7,0.44460886157546453,21
8,0.5100530710847795,21
9,0.4622054352365968,21
1,0.4768697588184557,22
2,0.3871819453786103,22
3,0.4109551785066914,22
4,0.40557168428217544,22
5,0.4086046958445556,22
6,0.422531784168103,22
7,0.4506893137022801,22
8,0.5107803789816754,22
9,0.527321665108213,22
1,0.4641912398630865,23
2,0.37134547611787616,23
3,0.40748997040263274,23
4,0.40086603960227696,23
5,0.4173243446682433,23
6,0.42696989910705874,23
7,0.442146416006586,23
8,0.5134235204354344,23
9,0.48095953641246225,23
1,0.4560603182424832,24
2,0.4268362685531498,24
3,0.40719428751882797,24
4,0.4020239558801367,24
5,0.4270478929917289,24
6,0.43780852056484076,24
7,0.4433830446708175,24
8,0.48019677324558563,24
9,0.4681335844229502,24
1,0.40780622086422685,25
2,0.4182419366829019,25
3,0.41278690421231573,25
4,0.4105119902727777,25
5,0.42608863206286596,25
6,0.4148812424062975,25
7,0.4624796979504017,25
8,0.5207538617023575,25
9,0.46644100752989426,25
1,0.4294953851387304,26
2,0.3770037825089944,26
3,0.3980011424545262,26
4,0.42253833084708303,26
5,0.40658307028911933,26
6,0.42381242611617725,26
7,0.4246193092979679,26
8,0.4851924279073229,26
9,0.4341866069819233,26
1,0.44701681155958606,27
2,0.37244805139653636,27
3,0.39612270274784855,27
4,0.3893639438107737,27
5,0.4081420704278647,27
6,0.4439001774926011,27
7,0.44163461975844065,27
8,0.5021913113151121,27
9,0.47386553610032156,27
1,0.48095357854004056,28
2,0.3973311794580287,28
3,0.41315774670628075,28
4,0.39418436981005633,28
5,0.42623739442016995,28
6,0.43213438747780974,28
7,0.4409857399522268,28
8,0.4944959370937018,28
9,0.47502211540522205,28
1,0.45917934512416303,29
2,0.407023022952827,29
3,0.44052277685393687,29
4,0.39736449544036984,29
5,0.42059496618077175,29
6,0.4426954122937978,29
7,0.4408928785977772,29
8,0.5438705436159161,29
9,0.46421189253618955,29
1,0.43495002618583806,30
2,0.41805217851428395,30
3,0.4175926898716402,30
4,0.3941173266870869,30
5,0.4188095432238697,30
6,0.4332833224399368,30
7,0.4300459676894325,30
8,0.5239969727537925,30
9,0.4243891877359819,30
1,0.4702801667909718,31
2,0.31875654685205257,31
3,0.3704047775086036,31
4,0.3936962652072348,31
5,0.40838449106768837,31
6,0.422813941489243,31
7,0.45819941967162603,31
8,0.5497768534029037,31
9,0.4482920918653396,31
1,0.45060357835051357,32
2,0.39880096076777877,32
3,0.40557269480915914,32
4,0.39340792176732375,32
5,0.4081887259203619,32
6,0.4193618726923085,32
7,0.45188107931813654,32
8,0.5039231497837712,32
9,0.4510049831309434,32
1,0.46020425103041107,33
2,0.40477885994425156,33
3,0.4012793942778323,33
4,0.3834007419675172,33
5,0.4084701218926772,33
6,0.4326232731913088,33
7,0.4511755001874537,33
8,0.5247027166961101,33
9,0.45775689873250286,33
1,0.477796067929419,34
2,0.4164215485970844,34
3,0.4062539520498287,34
4,0.42858641759162974,34
5,0.4218973699313583,34
6,0.4293920181364192,34
7,0.4515361333059643,34
8,0.5322573821437365,34
9,0.46273519450002865,34
1,0.4067981128284137,35
2,0.39133728059311534,35
3,0.39119442688716,35
4,0.38153652575139296,35
5,0.4120771428100555,35
6,0.428012131385043,35
7,0.45393833235485637,35
8,0.5345668224310904,35
9,0.4441496749342924,35
1,0.4690074578331224,36
2,0.4372964641396195,36
3,0.40908689040704826,36
4,0.4071533146924474,36
5,0.41438710470197637,36
6,0.41378691017362185,36
7,0.4370817410425423,36
8,0.5161340593023577,36
9,0.449528513687514,36
1,0.4419815292460712,37
2,0.41822755952125396,37
3,0.35855267026802584,37
4,0.4087059021058985,37
5,0.4300268289787773,37
6,0.4220306537000894,37
7,0.4395013930044506,37
8,0.5441151163377648,37
9,0.4754622467049307,37
1,0.4325103132498466,38
2,0.4204996252559211,38
3,0.4332923422317011,38
4,0.40294158083383225,38
5,0.41283078414400937,38
6,0.4336713605966418,38
7,0.44192988304135866,38
8,0.49863147485418535,38
9,0.46238248523133074,38
1,0.3950961269360821,39
2,0.4243006030325915,39
3,0.4245027806668483,39
4,0.3937558034211538,39
5,0.43257463278433017,39
6,0.4278311987811474,39
7,0.4539340670285255,39
8,0.5138221829278622,39
9,0.4017443108554403,39
1,0.42206122963930914,40
2,0.4078538783282669,40
3,0.4201831608458903,40
4,0.3897378197970025,40
5,0.43438378324108673,40
6,0.4370305505549674,40
7,0.4473159529924016,40
8,0.5257161845878592,40
9,0.491499717728102,40
1,0.47222399204680016,41
2,0.4116083116471198,41
3,0.4202978840387537,41
4,0.4013955316552317,41
5,0.41265750606266777,41
6,0.426037389017112,41
7,0.4278820614341058,41
8,0.5146684579960337,41
9,0.4481204307454927,41
1,0.4146290081130984,42
2,0.40452945871983215,42
3,0.37923886920082406,42
4,0.40020693864171103,42
5,0.4035065822022838,42
6,0.4121550166539408,42
7,0.4261169203281157,42
8,0.5388860330975321,42
9,0.4809066106400736,42
1,0.5059542827505437,43
2,0.357276002401383,43
3,0.3966519333134798,43
4,0.3876089168716957,43
5,0.4069418791270478,43
6,0.42954634531801406,43
7,0.43521531407051833,43
8,0.4980314471647346,43
9,0.4872350026121376,43
1,0.46946297559406547,44
2,0.46145976661345695,44
3,0.39817668362607966,44
4,0.41275043762926544,44
5,0.4130625690117558,44
6,0.4433356171209373,44
7,0.4488941138747285,44
8,0.5253133755138771,44
9,0.4537757297497054,44
1,0.462713608228893,45
2,0.3361672206352377,45
3,0.42805222081638944,45
4,0.40514892664283897,45
5,0.4189973837878868,45
6,0.43084641504736654,45
7,0.45165495622533475,45
8,0.5450046220418616,45
9,0.5230612660614067,45
1,0.4609848102702882,46
2,0.41932241806416953,46
3,0.3801065697030266,46
4,0.3834144889131351,46
5,0.4257975986736163,46
6,0.43435033015557284,46
7,0.46120710717157953,46
8,0.5126644563709918,46
9,0.49730927172064104,46
1,0.4398669237824232,47
2,0.36633382111323476,47
3,0.4100157344078881,47
4,0.37900558424090625,47
5,0.4087292472148955,47
6,0.44530333987008625,47
7,0.4436560427062542,47
8,0.5223709787387507,47
9,0.4594481348688998,47
1,0.4759818378475541,48
2,0.44468739069671365,48
3,0.42844101571806725,48
4,0.4048103200007822,48
5,0.412186789234528,48
6,0.44236344117986925,48
7,0.44068435764409725,48
8,0.4958390373054084,48
9,0.50381642689785,48
1,0.42606151429491884,49
2,0.46685646713757095,49
3,0.4145339119617403,49
4,0.38050527893808506,49
5,0.42671764648878935,49
6,0.41607576233100363,49
7,0.43798087689962484,49
8,0.5332025499777361,49
9,0.4675811161869739,49
1,0.48645915419807007,50
2,0.40519531671812475,50
3,0.39737082157297754,50
4,0.37469870275136113,50
5,0.4045525902379731,50
6,0.4329301380389694,50
7,0.45400965009933864,50
8,0.4894162882499639,50
9,0.4982232930215037,50
1,0.4345679366466555,51
2,0.4146344598638702,51
3,0.40883735434519997,51
4,0.37946371444762916,51
5,0.40984612446631696,51
6,0.4329337403407904,51
7,0.42860001070448855,51
8,0.5369334135861215,51
9,0.44388350548780603,51
1,0.4803546027966634,52
2,0.3828513809542492,52
3,0.3923736376971356,52
4,0.3912066828888474,52
5,0.40862092766165137,52
6,0.43219944938685717,52
7,0.45299291042168915,52
8,0.5152338300031984,52
9,0.44489422497311676,52
1,0.48801622050609816,53
2,0.4614427353034354,53
3,0.40802698714253094,53
4,0.4128834794555733,53
5,0.445281584014875,53
6,0.43820610620142125,53
7,0.46494190612113867,53
8,0.5131811136516999,53
9,0.4378128019053169,53
1,0.4513176462561536,54
2,0.3766405448420048,54
3,0.4094726932051504,54
4,0.3930704964285286,54
5,0.4169190569564945,54
6,0.4178472088396934,54
7,0.4290108104058949,54
8,0.5112465366241703,54
9,0.4206442946171701,54
1,0.4646175302985218,55
2,0.38321844420619444,55
3,0.41421175856711157,55
4,0.39100059888813754,55
5,0.4126754949064972,55
6,0.4250000950870715,55
7,0.47031820209059927,55
8,0.49297649499360063,55
9,0.46739562436193677,55
1,0.4319266487613326,56
2,0.4318464204567726,56
3,0.39005696960548963,56
4,0.3965194325947252,56
5,0.4441089651583168,56
6,0.4294925904690993,56
7,0.4578356387637183,56
8,0.5441704793106332,56
9,0.5030450601541778,56
1,0.42724316339520496,57
2,0.3269211111228792,57
3,0.416428513689909,57
4,0.3735699059291587,57
5,0.4188620326214849,57
6,0.43234827046969,57
7,0.4276867072276647,57
8,0.5210042451045702,57
9,0.4590938238016411,57
1,0.45262350249150013,58
2,0.3877381768492614,58
3,0.40327132666344345,58
4,0.38196965643983594,58
5,0.40649258153128365,58
6,0.4324197969250013,58
7,0.4757625500239565,58
8,0.5084558422473965,58
9,0.46397809565175274,58
1,0.43231022316447865,59
2,0.3893387979268731,59
3,0.3909196481428687,59
4,0.3873445492396481,59
5,0.3776947054911919,59
6,0.4065274174507452,59
7,0.4115276991995376,59
8,0.48404072539140724,59
9,0.4364655907520411,59
1,0.4241928794381233,60
2,0.43238461796831024,60
3,0.43462934501527695,60
4,0.38039386421366683,60
5,0.42799207652606636,60
6,0.43064604070913315,60
7,0.44023093870637653,60
8,0.5312371504855495,60
9,0.511278474738865,60
1,0.4635874089342377,61
2,0.37380011502059135,61
3,0.41580114898416065,61
4,0.4039068157718563,61
5,0.4075949438216546,61
6,0.450530185522693,61
7,0.43728121776431567,61
8,0.4906579374001198,61
9,0.46350955216998757,61
1,0.4455051620939421,62
2,0.4261807718380538,62
3,0.4097844845727142,62
4,0.3926013323771249,62
5,0.41254190452154543,62
6,0.43039210687924373,62
7,0.44099300817974946,62
8,0.49254007052927606,62
9,0.44614659913366606,62
1,0.47000447177635446,63
2,0.3919409122107669,63
3,0.42380687717635607,63
4,0.3860109834954507,63
5,0.4015332033078687,63
6,0.41643380699516575,63
7,0.47017438802233674,63
8,0.5416590895782945,63
9,0.4801921758314818,63
1,0.4654844379674361,64
2,0.4076857515562033,64
3,0.40783706250322405,64
4,0.3796451175640799,64
5,0.4194272532602509,64
6,0.4272107098663107,64
7,0.4379647681784692,64
8,0.508248708380115,64
9,0.48291149102274156,64
1,0.44724728146886705,65
2,0.36542772955145036,65
3,0.38918115741361903,65
4,0.3993682639429458,65
5,0.4198881987139898,65
6,0.4334893348308114,65
7,0.4404809092678566,65
8,0.5134857179504262,65
9,0.4757320179985008,65
1,0.41545190470321275,66
2,0.38848929902039825,66
3,0.40631597495300376,66
4,0.4115871056376532,66
5,0.42296459285862587,66
6,0.43568107927690997,66
7,0.42762139138034394,66
8,0.5306677087669469,66
9,0.5056231227693716,66
1,0.4381311821089862,67
2,0.3877287167993674,67
3,0.3931266896871235,67
4,0.4033239578048444,67
5,0.40780438015918663,67
6,0.4117386433732714,67
7,0.44310102859396155,67
8,0.5250555087923874,67
9,0.4358617221171164,67
1,0.45350460350975547,68
2,0.3596994474799043,68
3,0.4046641863135837,68
4,0.36762903863525587,68
5,0.41989237784374056,68
6,0.44477760017147067,68
7,0.4153904021564438,68
8,0.5295720881860623,68
9,0.4744947220706216,68
1,0.4174051380267486,69
2,0.43619797300019286,69
3,0.4301643041156521,69
4,0.4116920430029546,69
5,0.41109833283591163,69
6,0.4390109751673214,69
7,0.4388415047291831,69
8,0.505386882563915,69
9,0.4239126892246085,69
1,0.4659513089017399,70
2,0.44104629232862147,70
3,0.39217536179887774,70
4,0.36363280433627443,70
5,0.42742514125723685,70
6,0.4241389467371851,70
7,0.45061864110840577,70
8,0.5284100857517758,70
9,0.4092584874829204,70
1,0.4904546739577568,71
2,0.47045375461605143,71
3,0.4353605242823924,71
4,0.4019962078993833,71
5,0.40186403081221433,71
6,0.43691352790003257,71
7,0.4579304358953002,71
8,0.5085186695480033,71
9,0.4778970200442316,71
1,0.4469558661398348,72
2,0.4654602894099143,72
3,0.4089322198057821,72
4,0.40734440626735957,72
5,0.4185493942547514,72
6,0.45247371855765606,72
7,0.46772782969707927,72
8,0.528278144255073,72
9,0.47391942858086117,72
1,0.4290438649330615,73
2,0.36079451899497716,73
3,0.36237948917290064,73
4,0.40929279197235247,73
5,0.42245436419752663,73
6,0.43219505910053774,73
7,0.4128643206146123,73
8,0.5156415146539348,73
9,0.4681870065305547,73
1,0.4401946013491424,74
2,0.4230312209965269,74
3,0.39838421046710876,74
4,0.40350134093437295,74
5,0.4352536499447991,74
6,0.4296861323675975,74
7,0.46486231527369765,74
8,0.5458472255455822,74
9,0.46545779661795683,74
1,0.5072453049436408,75
2,0.42070680688100043,75
3,0.42740439171183964,75
4,0.3798699432628172,75
5,0.4227638352874876,75
6,0.4382839131453822,75
7,0.4494274631019569,75
8,0.5079931433544258,75
9,0.46831462439141325,75
1,0.4807692505712241,76
2,0.4096366370154216,76
3,0.4124515579190685,76
4,0.41382924819411326,76
5,0.4108417389790212,76
6,0.42426651044951424,76
7,0.4418030568479106,76
8,0.4884507881056068,76
9,0.43902384844103115,76
1,0.5038864972150764,77
2,0.4240739444956342,77
3,0.41528007739443606,77
4,0.401663085825913,77
5,0.4081035652457397,77
6,0.4318363753105709,77
7,0.4360354524360409,77
8,0.5083846238714074,77
9,0.4597051244060557,77
1,0.4553295424738628,78
2,0.3765460545096594,78
3,0.3983969935329905,78
4,0.386705257522718,78
5,0.4158541297382628,78
6,0.43510148862654296,78
7,0.44029496209874724,78
8,0.4943804628059817,78
9,0.4535841063760182,78
1,0.5021721070328975,79
2,0.4002789898130659,79
3,0.4052407184377957,79
4,0.40449827864284327,79
5,0.41996150740551025,79
6,0.4300115996072565,79
7,0.44136463443101137,79
8,0.5410139924630158,79
9,0.4675276423583342,79
1,0.4727410613516764,80
2,0.4738029767205712,80
3,0.38708605355898124,80
4,0.40818563620662124,80
5,0.4170074256690734,80
6,0.44834056076433393,80
7,0.44826631525108146,80
8,0.5449179973994516,80
9,0.4620592509706692,80
1,0.5030990045323632,81
2,0.38803816633343163,81
3,0.37773024267931954,81
4,0.3831723008712933,81
5,0.42762154068215424,81
6,0.4192605854391077,81
7,0.45555783012911794,81
8,0.5126483450327719,81
9,0.48392914822401556,81
1,0.41768116558920493,82
2,0.4086583096348644,82
3,0.40020515761632147,82
4,0.38074021089755367,82
5,0.4092855372263135,82
6,0.44392179977695573,82
7,0.45235540838760013,82
8,0.50835926453051,82
9,0.4588857501961767,82
1,0.44742664724231185,83
2,0.42434852328655703,83
3,0.418483524097801,83
4,0.39842281852015915,83
