group,x,bin,isknot,mid,fit,cohort
ARG,1.2857142857142856,1,0,0,25.713043929449967,Before 1950s
ARG,1.5714285714285712,1,0,0,25.946851303056942,Before 1950s
ARG,1.8571428571428568,1,0,0,26.18065867666392,Before 1950s
ARG,2.1428571428571423,1,0,0,26.414466050270896,Before 1950s
ARG,2.428571428571428,1,0,0,26.648273423877875,Before 1950s
ARG,2.7142857142857135,1,0,0,26.88208079748485,Before 1950s
ARG,2.999999999999999,1,0,0,27.115888171091825,Before 1950s
ARG,3.2857142857142847,1,0,0,27.349695544698804,Before 1950s
ARG,3.5714285714285703,1,0,0,27.583502918305783,Before 1950s
ARG,3.857142857142856,1,0,1,27.817310291912758,Before 1950s
ARG,4.1428571428571415,1,0,0,28.051117665519733,Before 1950s
ARG,4.428571428571427,1,0,0,28.284925039126712,Before 1950s
ARG,4.714285714285713,1,0,0,28.518732412733687,Before 1950s
ARG,4.999999999999998,1,0,0,28.752539786340666,Before 1950s
ARG,5.285714285714284,1,0,0,28.98634715994764,Before 1950s
ARG,5.571428571428569,1,0,0,29.22015453355462,Before 1950s
ARG,5.857142857142855,1,0,0,29.453961907161595,Before 1950s
ARG,6.142857142857141,1,0,0,29.687769280768574,Before 1950s
ARG,6.428571428571426,1,0,0,29.92157665437555,Before 1950s
ARG,6.714285714285712,1,0,0,30.155384027982528,Before 1950s
ARG,6.999999999999997,1,1,0,30.389191401589503,Before 1950s
ARG,7.380952380952378,2,0,0,30.700934566398807,Before 1950s
ARG,7.761904761904759,2,0,0,31.012677731208107,Before 1950s
ARG,8.14285714285714,2,0,0,31.32442089601741,Before 1950s
ARG,8.523809523809522,2,0,0,31.636164060826715,Before 1950s
ARG,8.904761904761903,2,0,0,31.94790722563602,Before 1950s
ARG,9.285714285714285,2,0,0,32.25965039044532,Before 1950s
ARG,9.666666666666666,2,0,0,32.57139355525462,Before 1950s
ARG,10.047619047619047,2,0,0,32.88313672006393,Before 1950s
ARG,10.428571428571429,2,0,0,33.19487988487323,Before 1950s
ARG,10.80952380952381,2,0,1,33.50662304968253,Before 1950s
ARG,11.190476190476192,2,0,0,33.81836621449184,Before 1950s
ARG,11.571428571428573,2,0,0,34.13010937930114,Before 1950s
ARG,11.952380952380954,2,0,0,34.441852544110446,Before 1950s
ARG,12.333333333333336,2,0,0,34.75359570891975,Before 1950s
ARG,12.714285714285717,2,0,0,35.06533887372905,Before 1950s
ARG,13.095238095238098,2,0,0,35.37708203853835,Before 1950s
